,name,author,user_rating,reviews,price,year,genre,Name,Author,User Rating,Reviews,Price,Year,Genre
18,,,,,,,,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828.0,15.0,2009.0,Non Fiction
19,,,,,,,,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926.0,27.0,2009.0,Non Fiction
20,,,,,,,,New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680.0,10.0,2009.0,Fiction
21,,,,,,,,Olive Kitteridge,Elizabeth Strout,4.2,4519.0,12.0,2009.0,Fiction
22,,,,,,,,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426.0,20.0,2009.0,Non Fiction
23,,,,,,,,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,2009.0,Non Fiction
24,,,,,,,,Sookie Stackhouse,Charlaine Harris,4.7,973.0,25.0,2009.0,Fiction
25,,,,,,,,StrengthsFinder 2.0,Gallup,4.0,5069.0,17.0,2009.0,Non Fiction
26,,,,,,,,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583.0,18.0,2009.0,Non Fiction
27,,,,,,,,The 5000 Year Leap,W. Cleon Skousen,4.8,1680.0,12.0,2009.0,Non Fiction
28,,,,,,,,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325.0,24.0,2009.0,Non Fiction
29,,,,,,,,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858.0,53.0,2009.0,Non Fiction
30,,,,,,,,The Elegance of the Hedgehog,Muriel Barbery,4.0,1859.0,11.0,2009.0,Fiction
31,,,,,,,,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207.0,6.0,2009.0,Non Fiction
32,,,,,,,,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803.0,9.0,2009.0,Non Fiction
33,,,,,,,,The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251.0,16.0,2009.0,Fiction
34,,,,,,,,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559.0,2.0,2009.0,Fiction
35,,,,,,,,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587.0,10.0,2009.0,Fiction
36,,,,,,,,The Help,Kathryn Stockett,4.8,13871.0,6.0,2009.0,Fiction
37,,,,,,,,The Last Lecture,Randy Pausch,4.7,4028.0,9.0,2009.0,Non Fiction
38,,,,,,,,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628.0,7.0,2009.0,Fiction
39,,,,,,,,The Lost Symbol,Dan Brown,4.2,8747.0,19.0,2009.0,Fiction
40,,,,,,,,The Love Dare,Stephen Kendrick,4.8,1655.0,13.0,2009.0,Non Fiction
41,,,,,,,,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720.0,8.0,2009.0,Fiction
42,,,,,,,,The Time Traveler's Wife,Audrey Niffenegger,4.4,3759.0,6.0,2009.0,Fiction
43,,,,,,,,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503.0,9.0,2009.0,Non Fiction
44,,,,,,,,The Twilight Saga Collection,Stephenie Meyer,4.7,3801.0,82.0,2009.0,Fiction
45,,,,,,,,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319.0,11.0,2009.0,Non Fiction
46,,,,,,,,True Compass: A Memoir,Edward M. Kennedy,4.5,438.0,15.0,2009.0,Non Fiction
47,,,,,,,,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676.0,9.0,2009.0,Fiction
48,,,,,,,,Under the Dome: A Novel,Stephen King,4.3,6740.0,20.0,2009.0,Fiction
49,,,,,,,,Watchmen,Alan Moore,4.8,3829.0,42.0,2009.0,Fiction
50,,,,,,,,Where the Wild Things Are,Maurice Sendak,4.8,9967.0,13.0,2009.0,Fiction
51,,,,,,,,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460.0,2.0,2010.0,Non Fiction
52,,,,,,,,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491.0,14.0,2010.0,Non Fiction
53,,,,,,,,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615.0,21.0,2010.0,Non Fiction
54,,,,,,,,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471.0,8.0,2010.0,Non Fiction
55,,,,,,,,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614.0,11.0,2010.0,Fiction
56,,,,,,,,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542.0,14.0,2010.0,Non Fiction
57,,,,,,,,Cutting for Stone,Abraham Verghese,4.6,4866.0,11.0,2010.0,Fiction
58,,,,,,,,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924.0,8.0,2010.0,Fiction
59,,,,,,,,Decision Points,George W. Bush,4.6,2137.0,17.0,2010.0,Non Fiction
60,,,,,,,,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651.0,15.0,2010.0,Non Fiction
61,,,,,,,,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525.0,16.0,2010.0,Non Fiction
62,,,,,,,,Food Rules: An Eater's Manual,Michael Pollan,4.4,1555.0,9.0,2010.0,Non Fiction
63,,,,,,,,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215.0,9.0,2010.0,Non Fiction
64,,,,,,,,George Washington's Sacred Fire,Peter A. Lillback,4.5,408.0,20.0,2010.0,Non Fiction
65,,,,,,,,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,2010.0,Non Fiction
66,,,,,,,,Life,Keith Richards,4.5,2752.0,18.0,2010.0,Non Fiction
67,,,,,,,,Little Bee: A Novel,Chris Cleave,4.1,1467.0,10.0,2010.0,Fiction
68,,,,,,,,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,2010.0,Fiction
69,,,,,,,,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426.0,20.0,2010.0,Non Fiction
70,,,,,,,,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548.0,2.0,2010.0,Fiction
71,,,,,,,,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,2010.0,Non Fiction
72,,,,,,,,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985.0,9.0,2010.0,Non Fiction
73,,,,,,,,Sarah's Key,Tatiana de Rosnay,4.6,3619.0,10.0,2010.0,Fiction
74,,,,,,,,Sh*t My Dad Says,Justin Halpern,4.7,1265.0,11.0,2010.0,Non Fiction
75,,,,,,,,StrengthsFinder 2.0,Gallup,4.0,5069.0,17.0,2010.0,Non Fiction
76,,,,,,,,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907.0,13.0,2010.0,Non Fiction
77,,,,,,,,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637.0,20.0,2010.0,Non Fiction
78,,,,,,,,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477.0,28.0,2010.0,Non Fiction
79,,,,,,,,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813.0,10.0,2010.0,Fiction
80,,,,,,,,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536.0,17.0,2010.0,Non Fiction
81,,,,,,,,The Confession: A Novel,John Grisham,4.3,3523.0,13.0,2010.0,Fiction
82,,,,,,,,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440.0,11.0,2010.0,Non Fiction
83,,,,,,,,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207.0,6.0,2010.0,Non Fiction
84,,,,,,,,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747.0,14.0,2010.0,Fiction
85,,,,,,,,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251.0,9.0,2010.0,Fiction
86,,,,,,,,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559.0,2.0,2010.0,Fiction
87,,,,,,,,The Help,Kathryn Stockett,4.8,13871.0,6.0,2010.0,Fiction
88,,,,,,,,The Hunger Games,Suzanne Collins,4.7,32122.0,14.0,2010.0,Fiction
89,,,,,,,,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289.0,13.0,2010.0,Non Fiction
90,,,,,,,,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628.0,7.0,2010.0,Fiction
91,,,,,,,,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506.0,14.0,2010.0,Fiction
92,,,,,,,,The Official SAT Study Guide,The College Board,4.4,1201.0,40.0,2010.0,Non Fiction
93,,,,,,,,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186.0,12.0,2010.0,Fiction
94,,,,,,,,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204.0,14.0,2010.0,Non Fiction
95,,,,,,,,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122.0,0.0,2010.0,Fiction
96,,,,,,,,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796.0,12.0,2010.0,Fiction
97,,,,,,,,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319.0,11.0,2010.0,Non Fiction
98,,,,,,,,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282.0,21.0,2010.0,Fiction
99,,,,,,,,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673.0,16.0,2010.0,Non Fiction
100,,,,,,,,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302.0,11.0,2010.0,Non Fiction
101,,,,,,,,11/22/63: A Novel,Stephen King,4.6,2052.0,22.0,2011.0,Fiction
102,,,,,,,,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643.0,11.0,2011.0,Fiction
103,,,,,,,,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149.0,32.0,2011.0,Non Fiction
104,,,,,,,,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505.0,0.0,2011.0,Fiction
105,,,,,,,,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614.0,11.0,2011.0,Fiction
106,,,,,,,,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542.0,14.0,2011.0,Non Fiction
107,,,,,,,,Cutting for Stone,Abraham Verghese,4.6,4866.0,11.0,2011.0,Fiction
108,,,,,,,,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094.0,4.0,2011.0,Fiction
109,,,,,,,,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346.0,9.0,2011.0,Non Fiction
110,,,,,,,,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,2011.0,Fiction
111,,,,,,,,Go the F**k to Sleep,Adam Mansbach,4.8,9568.0,9.0,2011.0,Fiction
112,,,,,,,,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,2011.0,Non Fiction
113,,,,,,,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779.0,10.0,2011.0,Non Fiction
114,,,,,,,,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571.0,21.0,2011.0,Non Fiction
115,,,,,,,,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299.0,20.0,2011.0,Fiction
116,,,,,,,,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,2011.0,Non Fiction
117,,,,,,,,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342.0,10.0,2011.0,Non Fiction
118,,,,,,,,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649.0,13.0,2011.0,Non Fiction
119,,,,,,,,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,2011.0,Fiction
120,,,,,,,,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163.0,13.0,2011.0,Non Fiction
121,,,,,,,,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,2011.0,Non Fiction
122,,,,,,,,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985.0,9.0,2011.0,Non Fiction
123,,,,,,,,Steve Jobs,Walter Isaacson,4.6,7827.0,20.0,2011.0,Non Fiction
124,,,,,,,,StrengthsFinder 2.0,Gallup,4.0,5069.0,17.0,2011.0,Non Fiction
125,,,,,,,,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637.0,20.0,2011.0,Non Fiction
126,,,,,,,,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314.0,22.0,2011.0,Non Fiction
127,,,,,,,,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587.0,21.0,2011.0,Non Fiction
128,,,,,,,,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477.0,28.0,2011.0,Non Fiction
129,,,,,,,,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325.0,24.0,2011.0,Non Fiction
130,,,,,,,,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813.0,10.0,2011.0,Fiction
131,,,,,,,,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633.0,21.0,2011.0,Non Fiction
132,,,,,,,,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023.0,15.0,2011.0,Non Fiction
133,,,,,,,,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207.0,6.0,2011.0,Non Fiction
134,,,,,,,,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747.0,14.0,2011.0,Fiction
135,,,,,,,,The Help,Kathryn Stockett,4.8,13871.0,8.0,2011.0,Fiction
136,,,,,,,,The Help,Kathryn Stockett,4.8,13871.0,7.0,2011.0,Fiction
137,,,,,,,,The Hunger Games (Book 1),Suzanne Collins,4.7,32122.0,8.0,2011.0,Fiction
138,,,,,,,,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949.0,30.0,2011.0,Fiction
139,,,,,,,,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289.0,9.0,2011.0,Non Fiction
140,,,,,,,,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247.0,13.0,2011.0,Non Fiction
141,,,,,,,,The Litigators,John Grisham,4.4,6222.0,18.0,2011.0,Fiction
142,,,,,,,,The Official SAT Study Guide,The College Board,4.4,1201.0,40.0,2011.0,Non Fiction
143,,,,,,,,The Paris Wife: A Novel,Paula McLain,4.3,3759.0,16.0,2011.0,Fiction
144,,,,,,,,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290.0,10.0,2011.0,Fiction
145,,,,,,,,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463.0,10.0,2011.0,Fiction
146,,,,,,,,"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034.0,19.0,2011.0,Non Fiction
147,,,,,,,,Tina Fey: Bossypants,Tina Fey,4.3,5977.0,12.0,2011.0,Non Fiction
148,,,,,,,,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673.0,16.0,2011.0,Non Fiction
149,,,,,,,,Water for Elephants: A Novel,Sara Gruen,4.5,8958.0,12.0,2011.0,Fiction
150,,,,,,,,What to Expect When You're Expecting,Heidi Murkoff,4.4,3341.0,9.0,2011.0,Non Fiction
151,,,,,,,,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296.0,24.0,2012.0,Non Fiction
152,,,,,,,,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614.0,11.0,2012.0,Fiction
153,,,,,,,,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346.0,9.0,2012.0,Non Fiction
154,,,,,,,,Fifty Shades Darker,E L James,4.4,23631.0,7.0,2012.0,Fiction
155,,,,,,,,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262.0,11.0,2012.0,Fiction
156,,,,,,,,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265.0,14.0,2012.0,Fiction
157,,,,,,,,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964.0,32.0,2012.0,Fiction
158,,,,,,,,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,2012.0,Fiction
159,,,,,,,,Gone Girl,Gillian Flynn,4.0,57271.0,10.0,2012.0,Fiction
160,,,,,,,,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,2012.0,Non Fiction
161,,,,,,,,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038.0,7.0,2012.0,Fiction
162,,,,,,,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779.0,10.0,2012.0,Non Fiction
163,,,,,,,,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,2012.0,Non Fiction
164,,,,,,,,Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634.0,25.0,2012.0,Non Fiction
165,,,,,,,,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342.0,10.0,2012.0,Non Fiction
166,,,,,,,,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,2012.0,Fiction
167,,,,,,,,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093.0,14.0,2012.0,Non Fiction
168,,,,,,,,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2012.0,Fiction
169,,,,,,,,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163.0,13.0,2012.0,Non Fiction
170,,,,,,,,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616.0,10.0,2012.0,Non Fiction
171,,,,,,,,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,2012.0,Non Fiction
172,,,,,,,,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009.0,20.0,2012.0,Non Fiction
173,,,,,,,,Steve Jobs,Walter Isaacson,4.6,7827.0,20.0,2012.0,Non Fiction
174,,,,,,,,StrengthsFinder 2.0,Gallup,4.0,5069.0,17.0,2012.0,Non Fiction
175,,,,,,,,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477.0,28.0,2012.0,Non Fiction
176,,,,,,,,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325.0,24.0,2012.0,Non Fiction
177,,,,,,,,The Amateur,Edward Klein,4.6,2580.0,9.0,2012.0,Non Fiction
178,,,,,,,,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789.0,14.0,2012.0,Non Fiction
179,,,,,,,,The Casual Vacancy,J.K. Rowling,3.3,9372.0,12.0,2012.0,Fiction
180,,,,,,,,The Fault in Our Stars,John Green,4.7,50482.0,13.0,2012.0,Fiction
181,,,,,,,,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207.0,6.0,2012.0,Non Fiction
182,,,,,,,,The Great Gatsby,F. Scott Fitzgerald,4.4,11616.0,7.0,2012.0,Fiction
183,,,,,,,,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098.0,13.0,2012.0,Fiction
184,,,,,,,,The Hunger Games (Book 1),Suzanne Collins,4.7,32122.0,8.0,2012.0,Fiction
185,,,,,,,,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949.0,30.0,2012.0,Fiction
186,,,,,,,,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289.0,9.0,2012.0,Non Fiction
187,,,,,,,,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247.0,13.0,2012.0,Non Fiction
188,,,,,,,,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247.0,10.0,2012.0,Fiction
189,,,,,,,,The Official SAT Study Guide,The College Board,4.4,1201.0,40.0,2012.0,Non Fiction
190,,,,,,,,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876.0,21.0,2012.0,Non Fiction
191,,,,,,,,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795.0,21.0,2012.0,Non Fiction
192,,,,,,,,The Racketeer,John Grisham,4.3,14493.0,18.0,2012.0,Fiction
193,,,,,,,,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091.0,12.0,2012.0,Fiction
194,,,,,,,,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377.0,7.0,2012.0,Fiction
195,,,,,,,,"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034.0,19.0,2012.0,Non Fiction
196,,,,,,,,Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904.0,23.0,2012.0,Non Fiction
197,,,,,,,,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673.0,16.0,2012.0,Non Fiction
198,,,,,,,,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497.0,6.0,2012.0,Non Fiction
199,,,,,,,,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044.0,18.0,2012.0,Non Fiction
200,,,,,,,,Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760.0,15.0,2012.0,Fiction
201,,,,,,,,Allegiant,Veronica Roth,3.9,6310.0,13.0,2013.0,Fiction
202,,,,,,,,And the Mountains Echoed,Khaled Hosseini,4.3,12159.0,13.0,2013.0,Fiction
203,,,,,,,,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329.0,10.0,2013.0,Non Fiction
204,,,,,,,,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642.0,13.0,2013.0,Non Fiction
205,,,,,,,,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679.0,105.0,2013.0,Non Fiction
206,,,,,,,,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812.0,0.0,2013.0,Fiction
207,,,,,,,,Divergent,Veronica Roth,4.6,27098.0,15.0,2013.0,Fiction
208,,,,,,,,Doctor Sleep: A Novel,Stephen King,4.7,15845.0,13.0,2013.0,Fiction
209,,,,,,,,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265.0,14.0,2013.0,Fiction
210,,,,,,,,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,2013.0,Fiction
211,,,,,,,,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799.0,16.0,2013.0,Non Fiction
212,,,,,,,,Gone Girl,Gillian Flynn,4.0,57271.0,10.0,2013.0,Fiction
213,,,,,,,,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038.0,7.0,2013.0,Fiction
